,Nick,PDL,Jogos,link
1,斗鱼AG丨60second,1813,319,https://lol.qq.com/tft/#/masterDetail/85241ab9-d2d1-5805-99cb-6e16af269cc9/1
2,斗鱼迅哥,1706,282,https://lol.qq.com/tft/#/masterDetail/a575e265-0729-5b92-82d6-afb7956fe9d0/1
3,虎牙歌神弃徒x,1670,348,https://lol.qq.com/tft/#/masterDetail/11d84314-9e4d-5f6b-8bf1-fcb9a27dc591/1
4,小小炼药师,1643,146,https://lol.qq.com/tft/#/masterDetail/cb929150-21bf-5dab-a762-29961bb57f50/1
5,虎牙冲榜赛战文欲,1638,352,https://lol.qq.com/tft/#/masterDetail/e6d29ac2-8c18-5098-a886-5f7227d7bb1f/1
6,BilibiliDys丶bbx,1614,360,https://lol.qq.com/tft/#/masterDetail/7102ec04-d576-5bb9-b602-685f3023011c/1
7,斗鱼丶Flancy,1561,312,https://lol.qq.com/tft/#/masterDetail/c4ec0e15-aaff-5490-9e57-e5865b60cdb4/1
8,虎牙冲榜赛丶天龙,1488,380,https://lol.qq.com/tft/#/masterDetail/920aa21a-6bab-5295-8ff1-c25bb6ee3492/1
9,斗鱼EL丶陈仔,1460,326,https://lol.qq.com/tft/#/masterDetail/048641ac-b713-5a97-a9f6-88a1eff24f23/1
10,斗鱼sudowoodoi,1424,375,https://lol.qq.com/tft/#/masterDetail/a3d04a01-8730-55d7-9445-14618d349611/1
11,虎牙丶赛寒,1404,436,https://lol.qq.com/tft/#/masterDetail/c0118c87-2d74-5e70-816a-faae0d5a856b/1
12,斗鱼NB丶小皮ovo,1403,352,https://lol.qq.com/tft/#/masterDetail/36632756-0b4e-55d6-bac3-1d223e4fa1e3/1
13,IvyXek,1374,229,https://lol.qq.com/tft/#/masterDetail/d8626dc1-c613-543a-a32a-497373738066/1
14,douyu泽魔,1371,344,https://lol.qq.com/tft/#/masterDetail/a040a214-16ea-51a6-981a-3d7bc23ed661/1
15,虎牙丶陈广c,1339,359,https://lol.qq.com/tft/#/masterDetail/96a21980-8a0e-5e2a-81c9-2b5bd39e873c/1
16,斗鱼丶雪下望月,1305,378,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
17,斗鱼AG丶幻灭7,1302,425,https://lol.qq.com/tft/#/masterDetail/ab3f4efc-0fa9-52f9-b877-79f09505343e/1
18,斗鱼丶1920,1302,351,https://lol.qq.com/tft/#/masterDetail/af56c801-3944-51ca-b40c-ac764b369dda/1
19,斗鱼丶阿豪ei,1260,341,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
20,斗鱼逝去z,1247,475,https://lol.qq.com/tft/#/masterDetail/30dbfeea-2d8b-555a-a880-722075d0be4d/1
21,虎牙冲榜赛天尊丨,1246,285,https://lol.qq.com/tft/#/masterDetail/5daada8c-81d0-54e9-8b94-129e9d811458/1
22,虎牙冲榜赛丶初七,1233,290,https://lol.qq.com/tft/#/masterDetail/f1041d88-5c11-5e72-8fdd-7720dba7e22e/1
23,啊熊丶,1200,215,https://lol.qq.com/tft/#/masterDetail/23a7da15-de27-5dff-bb72-c4443bb370a4/1
24,斗鱼NB丶小飞,1198,418,https://lol.qq.com/tft/#/masterDetail/fcc2e3c3-98b7-5fbf-a8f7-4d443ebc4c02/1
25,虎牙冲榜赛丨神超,1196,360,https://lol.qq.com/tft/#/masterDetail/be7f1446-e179-5592-9a03-7505e740b5f7/1
26,天和街浪子李少z,1175,351,https://lol.qq.com/tft/#/masterDetail/3fb11c64-3251-57f4-a546-1adfe9177e40/1
27,斗鱼炬合丶梨落,1174,279,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
28,狱卒的灯,1164,349,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
29,斗鱼AG60seconed,1148,204,https://lol.qq.com/tft/#/masterDetail/ce92c93a-a04c-536c-907c-7eb1b95ab0bc/1
30,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
31,虎牙冲榜赛丶迷途,1127,317,https://lol.qq.com/tft/#/masterDetail/f002bf82-1e7e-521e-962f-5335b80eb8f9/1
32,虎牙冲榜赛丶ice,1122,419,https://lol.qq.com/tft/#/masterDetail/6ad3cb3d-29d1-53b6-8441-40063bb78308/1
33,虎牙红莲丶777,1091,304,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
34,斗鱼NB丶栗萨,1091,254,https://lol.qq.com/tft/#/masterDetail/71adf4c0-829f-55da-a30e-0dfa985e942d/1
35,bilibili21958476,1088,191,https://lol.qq.com/tft/#/masterDetail/c050d32a-1231-5124-9fe7-679c04e1828f/1
36,温温柔柔丶,1081,405,https://lol.qq.com/tft/#/masterDetail/76532ae0-e7ea-5048-82e7-cb7f45b71699/1
37,斗鱼炫石stabby,1073,387,https://lol.qq.com/tft/#/masterDetail/71dfb9a8-5bb1-5d6b-bcb5-44914514ff3a/1
38,虎牙查理,1068,435,https://lol.qq.com/tft/#/masterDetail/2666cf12-2481-5902-9b2d-0f872425722c/1
39,六个字可以吗,1055,335,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
40,douyu丶骚皮迷呀,1052,445,https://lol.qq.com/tft/#/masterDetail/b62cbd8c-89be-54cd-b9a3-b156213e24fe/1
41,虎牙冲榜赛丶迷途,1127,317,https://lol.qq.com/tft/#/masterDetail/f002bf82-1e7e-521e-962f-5335b80eb8f9/1
42,虎牙冲榜赛丶ice,1122,419,https://lol.qq.com/tft/#/masterDetail/6ad3cb3d-29d1-53b6-8441-40063bb78308/1
43,虎牙红莲丶777,1091,304,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
44,斗鱼NB丶栗萨,1091,254,https://lol.qq.com/tft/#/masterDetail/71adf4c0-829f-55da-a30e-0dfa985e942d/1
45,bilibili21958476,1088,191,https://lol.qq.com/tft/#/masterDetail/c050d32a-1231-5124-9fe7-679c04e1828f/1
46,温温柔柔丶,1081,405,https://lol.qq.com/tft/#/masterDetail/76532ae0-e7ea-5048-82e7-cb7f45b71699/1
47,斗鱼炫石stabby,1073,387,https://lol.qq.com/tft/#/masterDetail/71dfb9a8-5bb1-5d6b-bcb5-44914514ff3a/1
48,虎牙查理,1068,435,https://lol.qq.com/tft/#/masterDetail/2666cf12-2481-5902-9b2d-0f872425722c/1
49,六个字可以吗,1055,335,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
50,douyu丶骚皮迷呀,1052,445,https://lol.qq.com/tft/#/masterDetail/b62cbd8c-89be-54cd-b9a3-b156213e24fe/1
51,虎牙冲榜赛丶迷途,1127,317,https://lol.qq.com/tft/#/masterDetail/f002bf82-1e7e-521e-962f-5335b80eb8f9/1
52,虎牙冲榜赛丶ice,1122,419,https://lol.qq.com/tft/#/masterDetail/6ad3cb3d-29d1-53b6-8441-40063bb78308/1
53,虎牙红莲丶777,1091,304,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
54,斗鱼NB丶栗萨,1091,254,https://lol.qq.com/tft/#/masterDetail/71adf4c0-829f-55da-a30e-0dfa985e942d/1
55,bilibili21958476,1088,191,https://lol.qq.com/tft/#/masterDetail/c050d32a-1231-5124-9fe7-679c04e1828f/1
56,温温柔柔丶,1081,405,https://lol.qq.com/tft/#/masterDetail/76532ae0-e7ea-5048-82e7-cb7f45b71699/1
57,斗鱼炫石stabby,1073,387,https://lol.qq.com/tft/#/masterDetail/71dfb9a8-5bb1-5d6b-bcb5-44914514ff3a/1
58,虎牙查理,1068,435,https://lol.qq.com/tft/#/masterDetail/2666cf12-2481-5902-9b2d-0f872425722c/1
