,Nick,League Points,Total Games,Daily League Points,Daily Games,link
0,虎牙丶赛寒,1605,455,201.0,19.0,https://lol.qq.com/tft/#/masterDetail/c0118c87-2d74-5e70-816a-faae0d5a856b/1
1,斗鱼NB丶小飞,1397,432,199.0,14.0,https://lol.qq.com/tft/#/masterDetail/fcc2e3c3-98b7-5fbf-a8f7-4d443ebc4c02/1
2,douyu丶骚皮迷呀,1205,466,153.0,21.0,https://lol.qq.com/tft/#/masterDetail/b62cbd8c-89be-54cd-b9a3-b156213e24fe/1
3,虎牙冲榜赛丶ice,1250,431,128.0,12.0,https://lol.qq.com/tft/#/masterDetail/6ad3cb3d-29d1-53b6-8441-40063bb78308/1
4,虎牙冲榜赛天尊丨,1330,289,84.0,4.0,https://lol.qq.com/tft/#/masterDetail/5daada8c-81d0-54e9-8b94-129e9d811458/1
5,六个字可以吗,1133,341,78.0,6.0,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
6,斗鱼AG丨60second,1874,332,61.0,13.0,https://lol.qq.com/tft/#/masterDetail/85241ab9-d2d1-5805-99cb-6e16af269cc9/1
7,虎牙歌神弃徒x,1730,357,60.0,9.0,https://lol.qq.com/tft/#/masterDetail/11d84314-9e4d-5f6b-8bf1-fcb9a27dc591/1
8,斗鱼AG丶幻灭7,1350,435,48.0,10.0,https://lol.qq.com/tft/#/masterDetail/ab3f4efc-0fa9-52f9-b877-79f09505343e/1
9,虎牙冲榜赛丶迷途,1170,328,43.0,11.0,https://lol.qq.com/tft/#/masterDetail/f002bf82-1e7e-521e-962f-5335b80eb8f9/1
10,虎牙冲榜赛丶初七,1275,301,42.0,11.0,https://lol.qq.com/tft/#/masterDetail/f1041d88-5c11-5e72-8fdd-7720dba7e22e/1
11,虎牙红莲丶777,1118,314,27.0,10.0,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
12,斗鱼丶Flancy,1582,327,21.0,15.0,https://lol.qq.com/tft/#/masterDetail/c4ec0e15-aaff-5490-9e57-e5865b60cdb4/1
13,斗鱼迅哥,1714,286,8.0,4.0,https://lol.qq.com/tft/#/masterDetail/a575e265-0729-5b92-82d6-afb7956fe9d0/1
14,天和街浪子李少z,1179,367,4.0,16.0,https://lol.qq.com/tft/#/masterDetail/3fb11c64-3251-57f4-a546-1adfe9177e40/1
15,BilibiliDys丶bbx,1614,364,0.0,4.0,https://lol.qq.com/tft/#/masterDetail/7102ec04-d576-5bb9-b602-685f3023011c/1
20,斗鱼EL丶陈仔,1460,326,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/048641ac-b713-5a97-a9f6-88a1eff24f23/1
22,斗鱼sudowoodoi,1424,375,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/a3d04a01-8730-55d7-9445-14618d349611/1
17,IvyXek,1374,229,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/d8626dc1-c613-543a-a32a-497373738066/1
16,douyu泽魔,1371,344,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/a040a214-16ea-51a6-981a-3d7bc23ed661/1
21,啊熊丶,1200,215,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/23a7da15-de27-5dff-bb72-c4443bb370a4/1
19,斗鱼AG60seconed,1148,204,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/ce92c93a-a04c-536c-907c-7eb1b95ab0bc/1
18,上分加729889524,1135,278,0.0,0.0,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
23,斗鱼逝去z,1237,483,-10.0,8.0,https://lol.qq.com/tft/#/masterDetail/30dbfeea-2d8b-555a-a880-722075d0be4d/1
24,小小炼药师,1630,153,-13.0,7.0,https://lol.qq.com/tft/#/masterDetail/cb929150-21bf-5dab-a762-29961bb57f50/1
25,虎牙冲榜赛丨神超,1180,372,-16.0,12.0,https://lol.qq.com/tft/#/masterDetail/be7f1446-e179-5592-9a03-7505e740b5f7/1
26,斗鱼炬合丶梨落,1136,290,-38.0,11.0,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
27,虎牙冲榜赛丶天龙,1419,400,-69.0,20.0,https://lol.qq.com/tft/#/masterDetail/920aa21a-6bab-5295-8ff1-c25bb6ee3492/1
28,斗鱼丶1920,1233,366,-69.0,15.0,https://lol.qq.com/tft/#/masterDetail/af56c801-3944-51ca-b40c-ac764b369dda/1
29,虎牙丶陈广c,1225,366,-114.0,7.0,https://lol.qq.com/tft/#/masterDetail/96a21980-8a0e-5e2a-81c9-2b5bd39e873c/1
30,斗鱼丶阿豪ei,1133,352,-127.0,11.0,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
31,虎牙冲榜赛战文欲,1500,360,-138.0,8.0,https://lol.qq.com/tft/#/masterDetail/e6d29ac2-8c18-5098-a886-5f7227d7bb1f/1
32,斗鱼丶雪下望月,1106,392,-199.0,14.0,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
33,斗鱼NB丶小皮ovo,1200,364,-203.0,12.0,https://lol.qq.com/tft/#/masterDetail/36632756-0b4e-55d6-bac3-1d223e4fa1e3/1
